perfume_id,brand,name,old_price,old_price_THB,new_price,new_price_THB,ml,concentration,department,scents,base_note,middle_note,item_rating,seller,seller_rating,num_seller_ratings
24,Britney Spears,Fantasy,170,5615.1,90,2972.7,100,EDP,Women,Vanilla,"Luid Sandalwood, Jasmine, Amber, Vanilla","Sweet Napolitano Cake, Verbena, Jacaranda Wood, Grapefruit Blossom",5,Cute Shop,3.8,76
25,GUCCI,Bloom Aqua Di Fiori,515,17010.45,311.8,10298.754,100,EDT,Women,Fruity,Jasmine,Tuberose,4.7,noon,4.2,98.1K
26,Yves Saint Laurent,Body Kouros,510,16845.3,203.6,6724.908,100,EDT,Men,Woody,Benzoin,"Chinese Cedar, Clary Sage",5,noon,4.2,98.1K
27,Van Cleef & Arpels,First,170.95,5646.4785,170.95,5646.4785,100,EDT,Women,Floral,"Honey, Sandalwood, Tonka Bean, Amber, Musk, Civet, Vanilla, Oakmoss, Vetiver","Carnation, Tuberose, Orchid, Orris Root, Jasmine, Hiacynth, Turkish Rose, Ylang-Ylang, Lily-Of-The-Valley, Narcissus",5,noon,4.2,98.1K
28,NARCISO RODRIGUEZ,Narciso Rodriguez,465,15358.95,226,7464.78,100,EDP,Women,Musk,"Patchouli, Sandalwood","Amber, Musk",4,Brand Land,4.2,98
29,S.T.Dupont,S.T. Dupont,120,3963.6,79.35,2620.9305,100,EDT,Men,Spicy,"Sandalwood, Amber, Patchouli, Musk, Coconut","Carnation, Cypress, Iris, Cinnamon, Lavender, Jasmine",5,noon,4.2,98.1K
30,Estee Lauder,Knowing,585,19322.55,220,7266.6,75,EDP,Women,Woody,"Oakmoss, Vetiver, Sandalwood, Amber","Jasmine, Patchouli, Orange Flower",5,KAYA,4.3,4K
31,Geoffrey Beene,Grey Flannel For Men,361,11923.83,79,2609.37,120,EDT,Men,Woody,"Tonka Bean, Almond, Oakmoss, Vetiver, Cedar","Mimose, Iris, Violet, Sage, Rose, Geranium, Narcissus",5,top langri,3.7,347
32,Dolce & Gabbana,The Only One,596,19685.88,187.3,6186.519,100,EDP,Women,"Oriental, Floral","Marshmallow, Vanilla, Sandalwood, Heliotrope","Coffee, Iris",5,Asrar Aljamal,3.5,244
33,Rasasi,Al Wisam Day,177,5846.31,76,2510.28,100,EDP,Men,Oriental,"Oak Moss, Rich, Musty Oud","Amber Nuanced Clary Sage, Soft, Milky Sandalwood,, Woody Cedarwood",4.3,hadayiq baris,3.8,122
34,Mancera,Black Vanilla,588,19421.64,296,9776.88,120,EDP,Unisex,Woody,"Vanilla Pods from Madagascar, White Musk","Delicate Bulgarian Rose, Violet,, Jasmine",3,MAKE UP,3.8,71
35,Dior,Addict,715,23616.45,333.8,11025.414,100,EDP,Women,Floral,"Bourbon Vanilla, Sandal Wood, Tonka Bean","Night Queen Flower, Bulgarian Rose, Orange Flower",4.5,Parfume-Stor,3.5,63
36,S.T.Dupont,Passenger,182,6011.46,108.9,3596.967,100,EDT,Men,Spicy,"Guaiac Wood, Benzoin","Ginger, Cardamom, Pink Pepper, Lavender",5,perfumes--addresses,4.4,59
37,BURBERRY,Brit Rhythm Intense,370,12221.1,136.65,4513.5495,90,EDT,Men,Spicy,"Cashmere Wood,Coumarin,Guaiac Wood,Leather,Sandalwood,Tonka Beans,Vanilla","Amber,Basil,Lavender,Mint,Patchouli",4.6,noon,4.2,98.1K
38,Calvin Klein,CK Be,247,8158.41,108.3,3577.149,200,EDT,Men,Floral,"Musk, Sandalwood, Cedar, Vanilla, Opoponax, Amber","Green Grass, Peach, Jasmine, Freesia, Magnolia, Orchid",5,noon,4.2,98.1K
39,GUCCI,Guilty,504,16647.12,214.9,7098.147,75,EDT,Women,Floral,"Patchouli, Amber","Raspberry Vilolet, Lilac, Peach",5,noon,4.2,98.1K
40,AIGNER,Starlight,341,11263.23,126.95,4193.1585,100,EDP,Women,Floral,"Patchouli, Sandalwood, Vanilla, White Musk","Cumin, Jasmine, Strawberries",5,noon,4.2,98.1K
41,BENTLEY,Azure,387,12782.61,107,3534.21,100,EDT,Men,Citrus,"Cashmere Wood, Tonka Bean, Orcanox","Pimento, Tea Accord, Lavender, Clary Sage",4.6,Cute Shop,4.1,538
42,VERSACE,Dylan Blue,85,2807.55,20.5,677.115,5,EDT,Men,Citrus,"Frankincense, Musk, Saffron, Tonka Beans","Ambroxan, Black Pepper, Papyrus, Patchouli, Violet Leaves",4.4,Princess of beauty,4.2,467
43,Estee Lauder,Modern Muse,450,14863.5,164.4,5430.132,50,EDP,Women,Floral,"Amber, Musk, Patchouli, Woody Notes","Honey Suckle, Jasmine Sambac, Lily, Tuberose",5,King-Perfume,3.9,450
44,Yves Saint Laurent,La Nuit De L'Homme L'Intense,583,19256.49,204,6738.12,100,EDP,Men,Vanilla,"Tonka Bean, Patchouli","Vanilla, Sage",5,Parfume-Stor,4.1,319
45,Juicy Couture,Vivi La Juicy Limited Edition,235,7762.05,154.1,5089.923,100,EDP,Women,Floral,"Amber, Caramel, Vanilla, Sandalwood, Pralines","Honeysuckle, Gardenia,, Jasmine",5,AMLAQ,3.9,135
46,Laura Mars,Splandid,36,1189.08,36,1189.08,100,EDP,Women,Floral,"Vanilla, Amber","Jasmine, Geranium, Neroli, Ylang-Ylan",5,hadayiq baris,3.8,122
47,GIORGIO ARMANI,Stronger With You,415,13707.45,170,5615.1,100,EDT,Men,Vanilla,"Vanilla, Chestnut, Cedar, Amber wood, Guaiac Wood","Pineapple, Sage, Melon, Cinnamon, Lavender",4.5,hadayiq baris,3.8,122
48,CHLOE,Chloe,631,20841.93,186,6143.58,75,EDP,Women,Floral,"Cedar, Amber","Magnolia, Lily-of-the-valley, Rose",3.5,عالم المشاهير,3.5,75
49,HERMES,Terre D'Hermes,15,495.45,9.55,315.4365,2,EDT,Men,Citrus,"Patchouli, Cedar, Vetiver, Benzoin","Pepper, Pelargonium",5,beautiful lady,3.8,23
50,Elizabeth Arden,5Th Avenue,135,4459.05,89.4,2952.882,125,EDP,Women,Floral,"Amber, Vanilla, Clove, Iris, Musk, Sandalwood","Peach, Jasmine, Bulgarian Rose, Violet, Tuberose, Carnation, Nutmeg, Ylang-Ylang",3.8,noon,4.2,98.1K
51,VERSACE,Dylan Blue,425,14037.75,217.85,7195.5855,100,EDT,Men,Fresh,"Incense, Musk, Tonka Bean, Saffron","Ambroxan, Patchouli, Black Pepper, Violet Leaf, Papyrus",4.6,noon,4.2,98.1K
52,Benetton,Hot Gold,45,1486.35,27.45,906.6735,100,EDT,Women,Fresh,"Amber, Musk, Sandalwood","Carambola, Rose, Mimosa",4.4,noon,4.2,98.1K
53,PACO RABANNE,Invictus,395,13046.85,210,6936.3,100,EDT,Men,Citrus,"Guaiac Wood, Patchouli Heart","Ambregris Accord, Grapefruit Zests",4.8,Boutique Wareef,3.8,98
54,Roberto Cavalli,Nero Assoluto,264,8719.92,129.55,4279.0365,75,EDP,Women,Arabian,"Ebony, Woodsy Notes",Vanilla,5,noon,4.2,98.1K
55,DORALL COLLECTION,Scholar,19,627.57,9.45,312.1335,100,EDT,Men,Floral,"Patchouli, Moss, Woody-Amber, Sandalwood, Musk, Dry Woods.","Jasmine, Peach, Apple, Green Notes, Lavender, Muguet, Dried Fruits.",5,B.A.G,3.7,14.1K
56,Calvin Klein,Eternity,131,4326.93,100,3303,100,EDT,Men,Floral,"Sandalwood, Amber, Musk, Vetiver, Brazilian Rosewood","Coriander, Lily, Orange Blossom, Juniper Berries, Basil, Jasmine, Sage, Lily-of-the-Valley, Geranium",4,hadayiq baris,3.8,122
57,Juicy Couture,Viva La Juicy Noir,490,16184.7,144.45,4771.1835,100,EDP,Women,Fruity,"Amber, Caramel, Vanilla, Sandalwood","Gardenia, Honeysuckle, Jasmine",4.9,Rose Gallary,3.5,63
