perfume_id,brand,name,img_url,old_price,new_price,price_THB,ml,concentration,department,scents,base_note,middle_note,item_rating,seller,seller_rating,num_seller_ratings,,,THB,min_price,max_price,,,,
19,BOUCHERON,Quatre,https://www.lmching.com/cdn/shop/files/D_anm_i-351_fea8ac79-80ee-4312-a7f2-bded4c3c10c0_540x.jpg?v=1712747049,327,171.5,5683.51,100,EDP,Women,Floral,"Golden Woods, Musk","Sambac Jasmine Absolute, Rose Absolute",5,Star.perfume,3.9,537,,,,,,,,,
20,NARCISO RODRIGUEZ,Narciso Rodriguez,https://m.media-amazon.com/images/I/51FBQx-qbUL._AC_UF1000_QL80_.jpg,595,200,6628,100,EDP,Women,Floral,"Patchouli, Sandalwood","Amber, Musk",4.6,hadayiq baris,3.8,122,,,,,,,,,
21,Alina Corel,Monsieur Intense Gold,https://www.parfumarabia.lt/images/uploader/mo/monsieur-intense-gold-6.jpg,31.45,31.45,1042.253,100,EDP,Unisex,Woody,"Rare Wood, Amber, White Musk","Shepherd, Saffron, Teak Wood, Gaiak Wood",5,Kathya,3.8,116,,,,,,,,,
22,Revlon,Charlie Gold,https://m.media-amazon.com/images/I/61TUecjJc8L.jpg,143,43,1425.02,100,EDT,Women,Woody,"Sandalwood, Cedar, Vanilla, Caramel, Musk, Woody","Jasmine, Rose, Muget, Freesia, Cinnamon",4,Golden Perfumesعطر أصلي 100 %,3.6,113,,,,,,,,,
23,TED LAPIDUS,Pour Homme,https://images.othoba.com/images/thumbs/0588467_lapidus-by-ted-lapidus-for-men-eau-de-toilette-spray-33-ounces.jpeg,129,44.45,1473.073,100,EDT,Men,Woody,"Sandalwood, Tonka Bean, Amber, Patchouli, Musk, Oakmoss, Cedar, Tobacco","Pine tree, Honey, Orris Root, Jasmine, Caraway, Petitgrain, Lily-of-the-valley, Rose, Brazilian Rosewood, Incense",5,neo lek,3.5,88,,,,,,,,,
24,Britney Spears,Fantasy,https://img.ltwebstatic.com/images3_spmp/2024/04/10/49/171272791689d10b14916fe9f24647ae0090580fa0_thumbnail_720x.webp,170,90,2982.6,100,EDP,Women,Vanilla,"Sandalwood, Jasmine, Amber, Vanilla","Sweet Napolitano Cake, Verbena, Jacaranda Wood, Grapefruit Blossom",5,Cute Shop,3.8,76,,,,,,,,,
25,GUCCI,Bloom Aqua Di Fiori,https://th.ozcosmetics.com/syimages/201811/229919.jpg,515,311.8,10333.052,100,EDT,Women,Fruity,Jasmine,Tuberose,4.7,noon,4.2,98.1K,,,,,,,,,
26,Yves Saint Laurent,Body Kouros,https://www.yslbeauty.com/dw/image/v2/BDCR_PRD/on/demandware.static/-/Sites-ysl-master-catalog/default/dw492690f1/square/Fragrance/ForHim/Kouros/431YSL/3365440098244_body-kouros-eau-de-toilette-vaporisateur_100ml.jpg,510,203.6,6747.304,100,EDT,Men,Woody,Benzoin,"Chinese Cedar, Clary Sage",5,noon,4.2,98.1K,,,,,,,,,
27,Van Cleef & Arpels,First,https://plummour.com/wp-content/uploads/2021/07/Van-Cleef-Arpels-First-2.jpg,170.95,170.95,5665.283,100,EDT,Women,Floral,"Honey, Sandalwood, Tonka Bean, Amber, Musk, Civet, Vanilla, Oakmoss, Vetiver","Carnation, Tuberose, Orchid, Orris Root, Jasmine, Hiacynth, Turkish Rose, Ylang-Ylang, Lily-of-the-valley, Narcissus",5,noon,4.2,98.1K,,,,,,,,,
28,NARCISO RODRIGUEZ,Narciso Rodriguez,https://cdn.paris-avenues.com/image/cache/catalog/Product2/3423470890020-Narciso-Rodriguez-For-Her-Edt-100-Ml--1000x1000.jpg,465,226,7489.64,100,EDP,Women,Musk,"Patchouli, Sandalwood","Amber, Musk",4,Brand Land,4.2,98,,,,,,,,,
29,S.T.Dupont,S.T. Dupont,https://cdn.paris-avenues.com/image/cache/catalog/Product2/3386461206630-S.T.Dupont-Pour-Homme-Edt-100-Ml--550x550.jpg,120,79.35,2629.659,100,EDT,Men,Spicy,"Sandalwood, Amber, Patchouli, Musk, Coconut","Carnation, Cypress, Iris, Cinnamon, Lavender, Jasmine",5,noon,4.2,98.1K,,,,,,,,,
30,Estee Lauder,Knowing,https://carsha.co/cdn/shop/files/4fdcaaa794d088f49fc5c5da4069d868.jpg?v=1726679183,585,220,7290.8,75,EDP,Women,Woody,"Oakmoss, Vetiver, Sandalwood, Amber","Jasmine, Patchouli, Orange Flower",5,KAYA,4.3,4K,,,,,,,,,
31,Geoffrey Beene,Grey Flannel For Men,"https://m.media-amazon.com/images/I/71XEseCx5rL._AC_UF1000,1000_QL80_.jpg",361,79,2618.06,120,EDT,Men,Woody,"Tonka Bean, Almond, Oakmoss, Vetiver, Cedar","Mimose, Iris, Violet, Sage, Rose, Geranium, Narcissus",5,top langri,3.7,347,,,,,,,,,
